Port_IDs,total_profit,total_trades,win_trades,total_investment,win_rate,ROI,Sharpe_Ratio,MDD,ROI_score,Sharpe_Ratio_score,win_rate_score,total_profit_score,MDD_score,final_score
3826087012661391104,532.65697373,108,63,4373.7423342,58.333333333333336,12.17851745780603,0.6110297897167177,0.000770695834924235,1.0,0.4976549635558853,0.7267932489451476,0.15269733849011013,0.914986208573986,0.5184262518474075
3768170840939476993,243.66889897,14,6,2775.560153,42.857142857142854,8.779089104108492,0.7071067811865475,0.0,0.725084437159445,0.5350164583016297,0.5339705502454145,0.1492710982760538,1.0,0.39975148851501074
3891020560590657281,2856.30056379,437,283,163834.4145645,64.75972540045767,1.7434069462039077,1.4889906804306894,0.0,0.15610097312975002,0.8390679356271398,0.806861678135901,0.18024643759397319,1.0,0.37794765201364444
3986814617275053313,16337.46188064,3554,2780,1874361.0185148001,78.22172200337648,0.8716283426330228,1.0976477961872142,0.0,0.08559926503745856,0.6868862853717983,0.9745889052500252,0.3400789741937344,1.0,0.36067134359215547
4041860229502600193,2327.33599982,97,38,173806.662,39.175257731958766,1.3390372802971153,1.9028357013859745,0.0,0.12339914719554648,1.0,0.4880967916332656,0.17397503811705728,1.0,0.3520366062970228
4029749871687083265,3662.13654822,856,367,115505.10595,42.873831775700936,3.170540832892072,1.4091197317361688,0.0,0.2715148824362833,0.8080084906514401,0.5341784827026752,0.189800422332204,1.0,0.3496727507000724
4039129759104249600,1264.28919972,133,59,39977.7842,44.3609022556391,3.162479424560003,1.1547003245707765,0.0,0.27086294735240724,0.7090723229113194,0.5527063590259554,0.16137156408460332,1.0,0.32065900929276936
4017110277719148289,2899.93302141,252,143,615395.4144512,56.74603174603175,0.4712308465925302,1.3679976897840633,0.0,0.05321867291108165,0.792017347185938,0.7070165618990212,0.18076374364911024,1.0,0.31305049277382113
4023697881318718465,3151.95061998,70,6,95292.77542,8.571428571428571,3.307649091012276,1.7799437595971856,0.0,0.2826029802072527,0.9522109657349338,0.10679411004908292,0.18375166220453004,1.0,0.3101781720129255
3977234346014419201,2427.29283086,83,33,59166.712085,39.75903614457831,4.102463607193359,0.9122167340623992,0.0,0.34688051670308656,0.6147776405517779,0.49537026950478213,0.1751601254756388,1.0,0.30508751362497966
4021243448368889856,1498.1937579,6050,2290,1749830.4131047,37.85123966942149,0.08561936897883582,1.795581444906735,0.0,0.02203384258787754,0.9582919981297898,0.471600436387548,0.16414473458360387,1.0,0.3048323129511702
4035034554469394176,2517.32079973,395,66,119894.8132,16.70886075949367,2.0996077582862442,1.7878931883369942,0.0,0.18490733012543895,0.9553022629909194,0.20818092338681987,0.17622749632680065,1.0,0.30132181224495147
3886752488982104320,7195.17832464,1249,931,799961.5870758,74.5396317053643,0.8994404782536418,0.7336324218887212,4.7762418367740456e-05,0.08784846346801933,0.5453314938846597,0.928712590325425,0.23168813628844356,0.9947314308847713,0.29939217581125593
3956048468100538880,1373.56489,28,20,123238.17079999999,71.42857142857143,1.1145612443640718,0.7466276070557041,0.0,0.10524551977885875,0.5503849362844321,0.889950917075691,0.16266713576093297,1.0,0.29094603381021866
4037121179310444801,7237.92173826,1595,772,5580378.82866,48.40125391849529,0.12970305351111835,1.3509063448786187,0.0,0.02559893932895044,0.7853710296533682,0.6030463643732957,0.23219490184530095,1.0,0.2871197537538849
4035430878731345664,2493.75041995,89,43,130569.5384,48.31460674157304,1.9099021490834953,0.9994861182252004,0.0,0.16956562590294588,0.6487141178288242,0.6019668000894,0.17594804609990156,1.0,0.2834720877474012
4030635536196756737,2581.61417484,1294,679,934528.9719205,52.47295208655333,0.2762476340925701,1.1875388786974876,1.1361187281528586e-05,0.03745016302306434,0.7218422634422762,0.6537769256353569,0.17698975804809222,0.9987467719920937,0.27636741167227336
4000222729738650369,1803.6201332800001,958,537,250361.5239747,56.05427974947808,0.7204062767497226,0.9968490783955664,0.0002777608552464139,0.07336976788950426,0.6476886511876239,0.6983978073669148,0.16776586715327646,0.9693608005335189,0.2758375938584972
3943533600390906881,2361.42457205,1759,964,222606.062211,54.80386583285958,1.0608087437491678,0.964602998426148,8.909241384998632e-05,0.10089849509614693,0.6351491062984961,0.6828185092014512,0.17437919194628085,0.9901724084321444,0.2757986606100967
3907081197088384000,18015.99737026,4137,2540,1638947.5950495,61.39714769156394,1.099241819853055,0.557153433095846,0.0010141211801811933,0.10400662083066979,0.47670404508918196,0.7649662705151455,0.35997967701696665,0.8881344849864118,0.2743909730820401
